1 1 0.025860
1 2 0.027579
1 3 0.029451
1 4 0.031501
1 5 0.033740
1 6 0.036194
1 7 0.038881
1 8 0.041828
1 9 0.045054
1 10 0.048589
1 11 0.052449
1 12 0.056661
1 13 0.061233
1 14 0.066177
1 15 0.071481
1 16 0.077124
1 17 0.083050
1 18 0.089181
1 19 0.095389
1 20 0.101510
1 21 0.107326
1 22 0.112586
1 23 0.117008
1 24 0.120316
1 25 0.122268
1 26 0.122703
1 27 0.121557
1 28 0.118891
1 29 0.114865
1 30 0.109719
1 31 0.103725
1 32 0.097162
1 33 0.090281
1 34 0.083294
1 35 0.076365
1 36 0.069616
1 37 0.063125
1 38 0.056941
1 39 0.051085
1 40 0.045560
1 41 0.040355
1 42 0.035450
1 43 0.030819
1 44 0.026435
1 45 0.022264
1 46 0.018277
1 47 0.014442
1 48 0.010727
1 49 0.007102
1 50 0.003536
2 1 0.051588
2 2 0.055004
2 3 0.058737
2 4 0.062811
2 5 0.067275
2 6 0.072157
2 7 0.077512
2 8 0.083377
2 9 0.089811
2 10 0.096852
2 11 0.104558
2 12 0.112961
2 13 0.122104
2 14 0.131994
2 15 0.142632
2 16 0.153964
2 17 0.165905
2 18 0.178286
2 19 0.190874
2 20 0.203326
2 21 0.215216
2 22 0.226011
2 23 0.235134
2 24 0.241988
2 25 0.246060
2 26 0.246986
2 27 0.244640
2 28 0.239143
2 29 0.230855
2 30 0.220285
2 31 0.208022
2 32 0.194643
2 33 0.180671
2 34 0.166530
2 35 0.152554
2 36 0.138974
2 37 0.125946
2 38 0.113556
2 39 0.101842
2 40 0.090801
2 41 0.080411
2 42 0.070626
2 43 0.061395
2 44 0.052655
2 45 0.044346
2 46 0.036403
2 47 0.028764
2 48 0.021364
2 49 0.014144
2 50 0.007042
3 1 0.077040
3 2 0.082134
3 3 0.087683
3 4 0.093756
3 5 0.100391
3 6 0.107668
3 7 0.115634
3 8 0.124379
3 9 0.133960
3 10 0.144470
3 11 0.155969
3 12 0.168540
3 13 0.182228
3 14 0.197081
3 15 0.213089
3 16 0.230213
3 17 0.248319
3 18 0.267198
3 19 0.286493
3 20 0.305718
3 21 0.324199
3 22 0.341121
3 23 0.355530
